"","year","week","mean_contacts"
"1",2020,12,3.07303370786517
"2",2020,13,2.71727105101414
"3",2020,14,2.52798053527981
"4",2020,15,2.53167602245389
"5",2020,16,2.31206896551724
"6",2020,17,2.34650455927052
"7",2020,18,1.66880684858213
"8",2020,19,2.42605915267786
"9",2020,20,3.16010329244674
"10",2020,21,3.1307220386975
"11",2020,22,3.23547400611621
"12",2020,23,3.34580438268306
"13",2020,24,2.76118271417741
"14",2020,25,3.82998944033791
"15",2020,26,3.75599315068493
"16",2020,27,4.00710770913067
"17",2020,28,3.20585701981051
"18",2020,29,2.50539956803456
"19",2020,30,4.31796801505174
"20",2020,31,3.20680272108844
"21",2020,32,5.84943820224719
"22",2020,33,5.72672283430547
"23",2020,34,5.42524005486968
"24",2020,35,4.61254384155148
"25",2020,36,6.28618421052632
"26",2020,37,7.4577522559475
"27",2020,38,10.9276030368764
"28",2020,39,6.39759036144578
"29",2020,40,7.36957314848595
"30",2020,41,4.29614825581395
"31",2020,42,5.89812332439678
"32",2020,43,4.90913242009132
"33",2020,44,4.45849136114623
"34",2020,45,6.38961415723818
"35",2020,46,4.28566121842496
"36",2020,47,5.23309788092836
"37",2020,48,5.55440029706647
"38",2020,49,6.49124382577458
"39",2020,50,5.92453854505972
"40",2020,51,3.31520912547529
"41",2020,52,3.26364423909905
"42",2020,53,2.64617104527669
"43",2021,1,3.07148984844152
"44",2021,2,3.65509259259259
"45",2021,3,2.48969072164948
"46",2021,4,2.72207656004195
"47",2021,5,3.78032178217822
"48",2021,6,3.20536025060912
"49",2021,7,2.97028571428571
"50",2021,8,2.58445945945946
"51",2021,9,2.50877192982456
"52",2021,10,4.26448736998514
"53",2021,11,4.70204724409449
"54",2021,12,3.843632455669
"55",2021,13,6.20553207837111
"56",2021,14,3.95413206801107
"57",2021,15,3.62302391568707
"58",2021,16,6.11577028258888
